"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Using Case Facts to Predict Accusation Based on Deep Learning","H. Wang; T. He; Z. Zou; S. Shen; Y. Li",Nanjing University; Nanjing University; Nanjing University; Nanjing University; Nanjing University,"2019 IEEE 19th International Conference on Software Quality, Reliability and Security Companion (QRS-C)","7 Oct 2019","2019","","","133","137","Under the blessing of artificial intelligence technology, legal research is moving towards intelligent and automated. The analysis of judicial data through artificial intelligence methods has become an urgent demand. High-efficient use of data in the judiciary can reduce the burden on relevant personnel, improve the case-handling efficiency, enhance trial quality, and promote fair enforcement. In order to solve the problem of automatic sentencing in legal intelligence, this paper proposes a framework based on FastText and TextCNN to combine the deep learning with justice to predict accusation, converting accusation prediction into a multi-label text classification problem. Compared to traditional methods and machine learning models, our framework can achieve excellent performance.","","978-1-7281-3925-8","10.1109/QRS-C.2019.00038","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8859448","legal intelligence;deep learning;multi-label classification;accusation prediction","Feature extraction;Law;Task analysis;Training;Deep learning;Prediction algorithms","learning (artificial intelligence);pattern classification;text analysis","case facts;deep learning;artificial intelligence technology;legal research;artificial intelligence methods;judiciary;relevant personnel;case-handling efficiency;trial quality;fair enforcement;automatic sentencing;legal intelligence;accusation prediction;multilabel text classification problem;machine learning models;judicial data analysis;FastText;TextCNN","","","","21","","7 Oct 2019","","","IEEE","IEEE Conferences"
"Are PAEs Different? The Legal Treatment of Patent Assertion Entities in Europe and the United States","J. L. Contreras; P. G. Picht",NA; NA,"IEEE Communications Standards Magazine","30 Oct 2018","2018","2","3","80","85","Patent assertion entities are playing an increasing role in patent litigation, in both the United States and Europe. Analyzing the resulting case law, mainly in the SEP/FRAND context, this article shows similarities as well as differences in the approaches taken by U.S. and EU courts. These distinctions can assist policy makers as they consider various proposals for patent law amendments in their jurisdictions.","2471-2833","","10.1109/MCOMSTD.2018.1700045","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8515156","","Patents;Licenses;Europe;Industries;Standards;Intellectual property","patents","patent law amendments;legal treatment;patent assertion entities;Europe;United States;patent litigation;SEP-FRAND context;case law;jurisdictions","","","","17","","30 Oct 2018","","","IEEE","IEEE Magazines"
"Identifying Relationships Among Sentences in Court Case Transcripts Using Discourse Relations","G. Ratnayaka; T. Rupasinghe; N. de Silva; M. Warushavithana; V. Gamage; A. S. Perera","Department of Computer Science Engineering, University of Moratuwa, Sri Lanka; Department of Computer Science Engineering, University of Moratuwa, Sri Lanka; Department of Computer Science Engineering, University of Moratuwa, Sri Lanka; Department of Computer Science Engineering, University of Moratuwa, Sri Lanka; Department of Computer Science Engineering, University of Moratuwa, Sri Lanka; Department of Computer Science Engineering, University of Moratuwa, Sri Lanka","2018 18th International Conference on Advances in ICT for Emerging Regions (ICTer)","17 Jan 2019","2018","","","13","20","Case Law has a significant impact on the proceedings of legal cases. Therefore, the information that can be obtained from previous court cases is valuable to lawyers and other legal officials when performing their duties. This paper describes a methodology of applying discourse relations between sentences when processing text documents related to the legal domain. In this study, we developed a mechanism to classify the relationships that can be observed among sentences in transcripts of United States court cases. First, we defined relationship types that can be observed between sentences in court case transcripts. Then we classified pairs of sentences according to the relationship type by combining a machine learning model and a rule-based approach. The results obtained through our system were evaluated using human judges. To the best of our knowledge, this is the first study where discourse relationships between sentences have been used to determine relationships among sentences in legal court case transcripts.","2472-7598","978-1-5386-7352-2","10.1109/ICTER.2018.8615485","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8615485","Discourse relations;machine learning;natural language processing;support vector machine","Law;Machine learning;Support vector machines;Redundancy;Natural language processing;Data mining","knowledge based systems;law administration;learning (artificial intelligence);text analysis","Case Law;legal cases;United States court cases;discourse relationships;legal court case transcripts;text documents;machine learning model;rule-based approach","","2","","36","","17 Jan 2019","","","IEEE","IEEE Conferences"
"Lawyer's Intellectual Tool for Analysis of Legal Documents in Russian","A. Khasianov; I. Alimova; A. Marchenko; G. Nurhambetova; E. Tutubalina; D. Zuev","Higher Institute of Information Technology and Intelligent Systems, Kazan Federal University, Kazan, Russia; Higher Institute of Information Technology and Intelligent Systems, Kazan Federal University, Kazan, Russia; Higher Institute of Information Technology and Intelligent Systems, Kazan Federal University, Kazan, Russia; Higher Institute of Information Technology and Intelligent Systems, Kazan Federal University, Kazan, Russia; Higher Institute of Information Technology and Intelligent Systems, Kazan Federal University, Kazan, Russia; Higher Institute of Information Technology and Intelligent Systems, Kazan Federal University, Kazan, Russia","2018 International Conference on Artificial Intelligence Applications and Innovations (IC-AIAI)","28 Mar 2019","2018","","","42","46","In the field of jurisprudence, document management plays a key role. Lawyers have to process a large volume of text documents in order to find necessary information. In this paper, we present “Robot Lawyer” intellectual system. The main goal of the system is to assist lawyers and citizens in providing the necessary information regarding legal processes. “Robot Lawyer” includes an expert system that use a set of rules to provide reference information and neural network models to give an answer on more complex questions. The article also describes the methods applied for processing textual information. The system developed for the Russian language.","","978-1-7281-0412-6","10.1109/IC-AIAI.2018.8674441","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8674441","legal text processing;expert system;neural network;named entity recognition","Law;Task analysis;Expert systems;Libraries;Robots;Neural networks","expert systems;information retrieval;law administration;natural language processing;neural nets;text analysis","legal documents;document management;text documents;Robot Lawyer intellectual system;expert system;neural network models;textual information;Russian language","","","","43","","28 Mar 2019","","","IEEE","IEEE Conferences"
"A Box of Bricks for Modelling Domain-Specific Compliance Pattern","A. Zasada","Inst. of Comput. Sci., Univ. of Rostock, Rostock, Germany","2018 IEEE 22nd International Enterprise Distributed Object Computing Workshop (EDOCW)","15 Nov 2018","2018","","","37","42","Regulations provide the legal basis for good manufacturing practices in the food industry. They define a common terminology and the requirements for improving food quality and safety, which are highly important in light of past and current food scandals. However, the rules that can be derived from regulations are scattered in legal texts that have to be processed manually to create a set of company-specific process controls. Current approaches lack an intermediate, domain-specific representation that fosters reuse and is technology-agnostic. In this paper, such a pattern-based approach is developed to formalize compliance requirements in the food industry. The contributions of this paper are twofold. First, it presents a pattern catalogue that is built on the basis of real-world legal documents. Second, it devises a transformation process that allows users to systematically capture compliance requirements from textual descriptions, to represent them in the form of patterns and, finally, to transform them into executable process controls.","2325-6605","978-1-5386-4141-5","10.1109/EDOCW.2018.00017","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8536103","conceptual modelling;compliance pattern;legal requirement;business process compliance;content analysis","Handheld computers;Conferences;Measurement;Safety","business data processing;food processing industry;food safety;legislation;manufacturing data processing;process control;specification languages;text analysis","modelling domain-specific compliance pattern;legal basis;food industry;food quality;safety;legal texts;company-specific process controls;intermediate domain-specific representation;technology-agnostic;pattern-based approach;compliance requirements;pattern catalogue;real-world legal documents;transformation process;executable process controls;manufacturing practices;food scandals","","1","","28","","15 Nov 2018","","","IEEE","IEEE Conferences"
"From RELAW Research to Practice: Reflections on an Ongoing Technology Transfer Project","N. Sannier; M. Sabetzadeh; L. C. Briand","SnT Centre for Security, Univ. of Luxembourg, Luxembourg City, Luxembourg; SnT Centre for Security, Univ. of Luxembourg, Luxembourg City, Luxembourg; SnT Centre for Security, Univ. of Luxembourg, Luxembourg City, Luxembourg","2017 IEEE 25th International Requirements Engineering Conference Workshops (REW)","2 Oct 2017","2017","","","204","208","Over the past years, we have been studying the topic of automated metadata extraction from legal texts. While our research has been motivated primarily by RE problems, we have observed that the interdisciplinarity of the research on legal metadata, and indeed on several other topics considered by the RELAW community, has the potential to trigger innovation beyond the traditional RE. In particular, legal metadata is a key enabler for the rapidly-expanding field of Legal Technology (LegalTech). In this short paper, we describe the preliminary steps we have taken toward transitioning a prototype tool for legal metadata extraction (developed in our previous work) into a platform that is palatable to the LegalTech market. We hope that our findings would provide useful insights about the value chain for legal metadata and further offer a concrete example of a technology transfer attempt that is rooted in RELAW research.","","978-1-5386-3488-2","10.1109/REW.2017.28","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8054854","Legal Metadata;Technology Transfer","Law;Metadata;Automation;Portals;Semantics;Companies","law;meta data;technology transfer;text analysis","automated metadata extraction;legal texts;RELAW community;Legal Technology;legal metadata extraction;technology transfer project;LegalTech","","","","19","","2 Oct 2017","","","IEEE","IEEE Conferences"
"The DAta Protection REgulation COmpliance Model","C. Bartolini; G. Lenzini; L. Robaldo","University of Luxembourg, Luxembourg; University of Luxembourg, Luxembourg; University of Luxembourg, Luxembourg","IEEE Security & Privacy","30 Oct 2019","2019","17","6","37","45","Understanding whether certain technical measures comply with the General Data Protection Regulation's (GDPR's) principles is complex legal work. This article describes a model of the GDPR that allows for a semiautomatic processing of legal text and the leveraging of state-of-the-art legal informatics approaches, which are useful for legal reasoning, software design, information retrieval, or compliance checking.","1558-4046","","10.1109/MSEC.2019.2937756","H2020 Marie Skłodowska-Curie Actions; Fonds National de la Recherche Luxembourg; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8845761","","Law;Data models;Data protection;ISO Standards;General Data Protection Regulation","data protection;information retrieval;legislation;text analysis","GDPR;semiautomatic processing;legal text;legal reasoning;compliance checking;general data protection regulations principles;legal informatics;data protection regulation compliance model;software design;information retrieval","","","","23","","20 Sep 2019","","","IEEE","IEEE Magazines"
"A linguistic method for Arabic normative provisions' annotation based on contextual exploration","I. Berrazega; R. Faiz; G. Mourad; A. Bouhafs","LARODEC, ISG - University of Tunis, Bardo, Tunisia; LARODEC, IHEC - University of Carthage, Carthage Présidence, Tunisia; Language Sciences and Communication Center, Lebanese University, Beirut, Lebanon; Department of Quantitative Methods, IHEC - University of Carthage, Carthage Présidence, Tunisia","2016 7th International Conference on Information and Communication Systems (ICICS)","23 May 2016","2016","","","347","352","We present in this paper a linguistic method to automatically identify and semantically annotate the categories of normative provisions in Arabic legal texts. The proposed method is based on a contextual exploration of the discursive knowledge conveyed in the processed texts. Coupled to a taxonomy of Arabic normative provisions and a set of annotation rules, this method enables the semantic annotation of the normative provisions based on a surface analysis in order to extract a set of relevant linguistic markers having contextual dependencies. The performance of this method has been evaluated by developing a prototype to automatically identify the normative categories over a large set of Arabic normative texts collected from the Official Gazette of the Republic of Tunisia. Evaluation was conducted in terms of Precision, Recall and F-score. We obtained respectively 96,4%, 96,06% and 96,23% for Precision, Recall and F-score.","","978-1-4673-8614-2","10.1109/IACS.2016.7476076","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7476076","Arabic Natural Language Processing;Semantic Annotation;Information Extraction;Contextual Exploration;Arabic language;Legal Corpora;Normative Provisions","Law;Semantics;Pragmatics;Context;Taxonomy;Syntactics","natural language processing;text analysis","linguistic method;Arabic normative provision annotation;contextual exploration;Arabic legal texts;normative provision category;text processing;annotation rules;surface analysis;Official Gazette of the Republic of Tunisia;precision;recall;F-score","","1","","14","","23 May 2016","","","IEEE","IEEE Conferences"
"Extracting security requirements from relevant laws and regulations","F. Z. Jorshari; H. Mouratidis; S. Islam","School of Architecture, Computing and Engineering, University of East London, London, United Kingdom; School of Architecture, Computing and Engineering, University of East London, London, United Kingdom; School of Architecture, Computing and Engineering, University of East London, London, United Kingdom","2012 Sixth International Conference on Research Challenges in Information Science (RCIS)","16 Jul 2012","2012","","","1","9","For software systems that process and manage sensitive information, compliance with laws has become not an option but a necessity. Analysing relevant laws and aligning them with the system requirements is necessary for attaining compliance issues. But analyzing laws within the context of software system requirements is a difficult task, mainly because the concepts used in legal texts are different compared to the concepts used in requirements engineering. This paper contributes to that direction. In particular it presents a process to model and analyse laws and regulations and to support the elicitation of security requirements based on the relevant legal and system context. Finally a case study is used to demonstrate the applicability of the proposed approach.","2151-1357","978-1-4577-1938-7","10.1109/RCIS.2012.6240443","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6240443","Hohfeld;Secure Tropos;Duty dependency;Right dependency","Law;Security;Context;Analytical models;Smart cards;Object recognition","law;security of data;systems analysis","security requirements;software system requirements;requirements engineering;sensitive information;compliance issues;legal texts","","4","","25","","16 Jul 2012","","","IEEE","IEEE Conferences"
"Development and evaluation of a self-learning support system for Patent Act suited to the current state of intellectual property education in engineering departments","T. Akakura; T. Ishii","Faculty of Engineering, Tokyo University of Science, Japan; Faculty of Engineering, Tokyo University of Science, Japan","2016 IEEE International Conference on Teaching, Assessment, and Learning for Engineering (TALE)","13 Feb 2017","2016","","","122","127","In this paper, we propose a model of the problem-solving process for learning Patent Act, noting that legal texts can be expressed as logical structures. We also develop a learning support system for engineering students that uses this model.","2470-6698","978-1-5090-5598-2","10.1109/TALE.2016.7851781","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7851781","intellectual property law;patent act;problem-solving process;system development","Intellectual property;Patents;Law;Problem-solving;Ethics;Surface structures","computer science education;engineering education;learning management systems;patents;problem solving;software engineering;text analysis","system development;legal texts;patent act learning;problem solving process;engineering departments;intellectual property education;self-learning support system","","4","","7","","13 Feb 2017","","","IEEE","IEEE Conferences"
"Towards Enhanced Accountability in Complying with Healthcare Regulations","P. R. Anish; V. Joshi; A. Sainani; S. Ghaisas",TCS Research; TCS Research; TCS Research; TCS Research,"2019 IEEE/ACM 1st International Workshop on Software Engineering for Healthcare (SEH)","5 Sep 2019","2019","","","25","28","The healthcare ecosystem is highly complex. It is composed of multiple stakeholders with intersecting interests. The healthcare regulations such as Health Insurance Portability and Accountability Act, much like the systems they protect, are complex and often difficult to interpret. Regulations contain obligations that must be fulfilled by healthcare systems that form the backbone of modern healthcare. In this paper, we present a model for extracting and deconstructing obligations. The Obligation Model allows for capturing the essence of obligations in terms of their attributes such as Responsible entity, Trigger, Action, Deadline and Reference. We augment the extracted obligations with auxiliary information present in regulation documents and provide an ownership based rendering of the deconstructed obligation in an HTML format. This helps in establishing an explicit ownership of obligations and contributes towards enhancing accountability of stakeholders towards fulfilling the obligations. The rendering will be useful for building compliant healthcare systems by making the legal text more comprehensible for system designers.","","978-1-7281-2251-9","10.1109/SEH.2019.00012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8823886","Obligation, HIPAA, Healthcare, Extraction, Machine Learning, Ownership based rendering","Medical services;Rendering (computer graphics);Data mining;Law;Linguistics;Stakeholders","health care;hypermedia markup languages;medical information systems;rendering (computer graphics)","healthcare regulations;HTML format;legal text;ownership based rendering;obligation model;Health Insurance Portability and Accountability Act;multiple stakeholders;healthcare ecosystem;system designers;regulation documents","","","","22","","5 Sep 2019","","","IEEE","IEEE Conferences"
"A Comprehension Approach for Formalizing Privacy Rules of HIPAA for Decision Support","I. Khan; M. Alwarsh; J. I. Khan","Dept. of Comput. Sci., Int. Islamic Univ. (IIU), Islamabad, Pakistan; Dept. of Comput. Sci., Kent State Univ. (KSU), Kent, OH, USA; Dept. of Comput. Sci., Kent State Univ. (KSU), Kent, OH, USA","2013 12th International Conference on Machine Learning and Applications","10 Apr 2014","2013","2","","390","395","In this paper we explore automated verification of electronic medical record (EMR) transaction for compliance with a regulatory regimen such as HIPAA. We present an approach based on modeling the conceptual space of HIPAA. The clauses of HIPAA legal text is then converted into a disambiguated decision tree (DDT) rules precisely identifying the allowed, dis-allowed and prescribed actions per work flow request type. Given any EMR query the DT then enables one not only to verify the compliance as well as provide complete release guidance as prescribed by HIPAA, generate explanation and audit.","","978-0-7695-5144-9","10.1109/ICMLA.2013.154","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6786141","HIPAA;Privacy Rules;Logical Rules Set","Law;Authorization;Semantics;Decision trees;Human immunodeficiency virus","data privacy;decision support systems;decision trees;electronic health records;formal verification;health care;law;query processing;text analysis","privacy rule formalization;HIPAA;decision support;automated electronic medical record transaction verification;regulatory regimen;legal text conversion;disambiguated decision tree rules;DDT;allowed action-per-work flow request type;disallowed action-per-work flow request type;prescribed action-per-work flow request type;EMR query;computer assisted intelligent verification;medical information exchange;US health care system efficiency improvement;Portability-and-Accountability Act","","1","","14","","10 Apr 2014","","","IEEE","IEEE Conferences"
"Experimental Evaluation of CNN Parameters for Text Categorization in Legal Document Review","Q. Han; Y. Kou; D. Snaidauf","Risk & Financial Advisory Deloitte Transactions and Business Analytics LLP,Mclean,US; Risk & Financial Advisory Deloitte Transactions and Business Analytics LLP,Mclean,US; Risk & Financial Advisory Deloitte Transactions and Business Analytics LLP,Mclean,US","2019 IEEE International Conference on Big Data (Big Data)","24 Feb 2020","2019","","","4320","4324","Predictive Coding, also called Text Categorization, has been widely used in legal industry. By leveraging machine learning models such as logistic regression and SVM, the review of documents can be prioritized based on their probability of relevance to the legal case, thus improving review efficiency and cutting cost. In recent years, deep learning models-combined with word embeddings-have shown better performance in predictive coding. However, deep learning models involve many parameters and it is challenging and time-consuming for legal practitioners to select appropriate settings. Based on the experiments on several public legal text datasets, this paper shows the preliminary results about how various key parameter settings impact the performance of Convolutional Neural Networks (CNNs).","","978-1-7281-0858-2","10.1109/BigData47090.2019.9006182","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9006182","Deep Learning;Convolutional Neural Networks (CNNs);Predictive Coding;Text Categorization;Word Embeddings","Kernel;Law;Predictive coding;Machine learning;Text categorization;Training","convolutional neural nets;law administration;learning (artificial intelligence);regression analysis;support vector machines;text analysis","convolutional neural networks;SVM;CNN parameters;public legal text datasets;legal practitioners;word embeddings;deep learning model;logistic regression;leveraging machine learning models;legal industry;predictive coding;legal document review;text categorization","","1","","11","","24 Feb 2020","","","IEEE","IEEE Conferences"
"Law and adaptivity in requirements engineering","S. Ingolfo; V. E. Silva Souza","Department of Information Engineering and Computer Science, University of Trento, Italy; Computer Science Department, Federal University of Espírito Santo (Ufes), Brazil","2013 8th International Symposium on Software Engineering for Adaptive and Self-Managing Systems (SEAMS)","12 Sep 2013","2013","","","163","168","The great impact that law has on the design of software systems has been widely recognized in past years. However, little attention has been paid to the challenge of coping with variability characterizing the legal domain (e.g., multiple ways to comply with a given law, frequent updates to regulations, different jurisdictions, etc.) on the design of software systems. This position paper advocates the use of adaptation mechanisms in order to support regulatory compliance for software systems. First we show an example of how Zanshin, a requirements-based adaptation framework, can be used to design a system that adapts to legal requirements to accommodate legal variability. Then we examine how legal texts can be analyzed as sources for parameters and indicators needed to support adaptation. As motivating running example we consider legal situations concerning the Google driverless car and its recent legalization in the highways of Nevada and soon also in California.","2157-2321","978-1-4673-4401-2","10.1109/SEAMS.2013.6595503","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6595503","Legal variability;Regulatory compliance;Adaptation framework;Requirements engineering","Law;Vehicles;Adaptation models;Software systems;Adaptive systems","law;software engineering","requirements engineering;software system design;legal domain;adaptation mechanism;software system regulatory compliance;Zanshin requirements-based adaptation framework;legal requirement;legal variability;legal text;Google driverless car;Nevada;California","","2","16","24","","12 Sep 2013","","","IEEE","IEEE Conferences"
"Effect of R&D Tax Credit on the Cost-Metrics of Cloud Computing: A Case Study from France","M. Daumas","ASR, PROMES, France","2013 46th Hawaii International Conference on System Sciences","18 Mar 2013","2013","","","3049","3056","Cloud computing probably carries disruptive innovations that will change our future in many ways. We explore in this article how R&D Tax Credit changes the cost metrics of cloud computing with short- and long-term effects of its future developments and acceptance as a new key technology. Some of the situations described here may be in effect or arise in some other countries but in-depth analysis of legal texts and practices is necessary to identify them. The comparisons in this article are limited to bare costs. I do not propose adjustments or my opinion to policy makers in order to remain on a scientific level. Yet we go as far as possible as long as we remain in the intents of present laws and regulations.","1530-1605","978-0-7695-4892-0","10.1109/HICSS.2013.188","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6480211","R&D tax credit;cloud computing","Companies;Cloud computing;Government;Industries;Hardware;Investment","cloud computing;taxation;text analysis","R&D tax credit;cost-metrics;cloud computing;legal text in-depth analysis","","","","20","","18 Mar 2013","","","IEEE","IEEE Conferences"
"Comparing and analyzing definitions in multi-jurisdictions","S. Ghanavati; T. D. Breaux","Carnegie Mellon University, Pittsburgh, Pennsylvania, US; Carnegie Mellon University, Pittsburgh, Pennsylvania, US","2015 IEEE Eighth International Workshop on Requirements Engineering and Law (RELAW)","19 Nov 2015","2015","","","47","56","Regulatory definitions establish the scope and boundary for legal statements and provide software designers with means to assess the coverage of their designs under the law. However, the number of phrases that serve to define this boundary in a legal statement are usually large and often a simple legal statement contains or is affected by up to 10 definition-related phrases. In addition, software designers may need to design their software to operate under multiple jurisdictions, which may not use the same terminology to express conditions. Thus, it is necessary for designers to keep track of definitions in one or more regulations and to compare these definitions across jurisdictions. In this paper we report a study to develop a method to analyze and compare natural language definitions across legal texts and how to analyze the legal statements with respect to definitions. Our method helps reduce the number of comparison between definitions across multiple jurisdictions as well as allows software designers keep track of several inter-related definitions in a systematic way.","","978-1-5090-0104-0","10.1109/RELAW.2015.7330211","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7330211","Privacy;Legal Ontology;Definitions;Legal Requirements","Law;Ontologies;Software;Cognition;Public healthcare","law;software engineering;text analysis","multijurisdiction;law;natural language;legal text analysis","","1","","23","","19 Nov 2015","","","IEEE","IEEE Conferences"
"Lay judgements of the probable cause standard","M. Baucum; N. Scurich; R. S. John","Department of Psychology, University of Southern California, 3620 South McClintock Ave, Los Angeles, CA, USA; Email: baucum@usc.edu; Departments of Psychology & Social Behavior, and Criminology, Law & Society, University of California, Irvine, CA, USA; Departments of Psychology & Social Behavior, and Criminology, Law & Society, University of California, Irvine, CA, USA","Law, Probability and Risk","11 Oct 2018","2018","17","3","225","242","Much legal discourse has focused on the probable cause standard and the constitutionality of law enforcement searches. Existing case law stipulates that probable cause requires less than 50% certainty in a suspect’s involvement in a crime, and that it should be applied consistently regardless of the crime at hand or type of search in question. Because courts have previously declared probable cause to be a ‘lay’ judgement, this experiment investigated whether lay perceptions of the probable cause standard align with the legal guidelines surrounding it. We assigned 406 respondents to read various scenarios varying by crime (assault, narcotics or robbery) and intrusiveness of search (person, car or home), and judge whether a police officer would be justified in conducting a search. Case law suggests that search decisions should not generally depend on the nature of the crime at hand, but may depend on the invasiveness of the search being conducted. Results suggested that respondents generally made their search decisions in line with these principles, but that they implicitly assumed probable cause to require ‘more’ certainty in a suspect’s crime involvement than case law would prescribe. We discuss the implications of these findings for the perceived fairness of police procedures and its impact on police–community relations.","1470-840X","","10.1093/lpr/mgy010","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8488891","probable cause;lay judgements;search and seizure;public perceptions","","","","","","","","","11 Oct 2018","","","OUP","OUP Journals"
"Measuring efficiency of Brazilian courts with data envelopment analysis (DEA)","L. L. Yeung; P. F. Azevedo",NA; NA,"IMA Journal of Management Mathematics","18 Jan 2018","2011","22","4","343","356","In Brazilian law, there may be nothing as uncontroversial as the idea that courts are slow, inefficient and unable to attend to citizens’ demand. Court inefficiency has been well acknowledged for many decades. Yet, the crucial question “How bad are they? ” has never been answered. For many different reasons, almost all legal research carried out in Brazil has been subjective, relying entirely on conventional wisdom and anecdoctal evidence. The purpose of this paper is to try to address the lack of empirical research on the performance of the Brazilian judiciary. We employ data envelopment analysis to measure the efficiency of Brazilian state courts. Results show that relative efficiency varies substantially across the 27 state courts in the country. Moreover, we will also argue that the lack of human and material resources cannot be blamed as the main reason for inefficiency, as it is traditionally believed. Finally, there seems to be some evidence that court efficiency is correlated with the performance of court management. In other words, efficient courts are those that exhibit better management.","1471-6798","","10.1093/imaman/dpr002","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8133763","data envelopment analysis (DEA);efficiency;courts","","","","","","","","","18 Jan 2018","","","OUP","OUP Journals"
"A legal cross-references taxonomy for identifying conflicting software requirements","J. C. Maxwell; A. I. Antón; P. Swire","Department of Computer Science, North Carolina State University, Raleigh, NC, USA; Department of Computer Science, North Carolina State University, Raleigh, NC, USA; Moritz College of Law, Ohio State University, Columbus, Ohio, USA","2011 IEEE 19th International Requirements Engineering Conference","20 Oct 2011","2011","","","197","206","Companies must ensure their software complies with relevant laws and regulations to avoid the risk of costly penalties, lost reputation, and brand damage resulting from noncompliance. Laws and regulations contain internal cross-references to portions of the same legal text, as well as cross-references to external legal texts. These cross-references introduce ambiguities, exceptions, as well as other challenges to regulatory compliance. Requirements engineers need guidance as to how to address cross-references in order to comply with the requirements of the law. Herein, we analyze each external cross-reference within the U.S. Health Insurance Portability and Accountability Act (HIPAA) Privacy Rule to determine whether a cross-reference either: introduces a conflicting requirement, a conflicting definition, and/or refines an existing requirement. Herein, we propose a legal cross-reference taxonomy to aid requirements engineers in classifying cross-references as they specify . Analyzing cross-references enables us to address conflicting requirements that may otherwise thwart legal compliance. We identify five sets of conflicting compliance requirements and recommend strategies for resolving these conflicts.","2332-6441","978-1-4577-0924-1","10.1109/RE.2011.6051647","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6051647","Healthcare IT;Conflicting Requirements;Regulatory Compliance;Requirements Engineering","Law;Privacy;Taxonomy;Software;Unified modeling language;Educational institutions","formal verification;legislation;software engineering","legal cross-references taxonomy;software requirement;regulatory compliance;requirements engineer;US Health Insurance Portability and Accountability Act privacy rule;compliance requirements;legal compliance;software development","","19","","37","","20 Oct 2011","","","IEEE","IEEE Conferences"
"Revisiting the p-value: a comparison of statistical evidence in clinical and legal medical decision making","K. H. Zou; L. M. DeTora; S. J. Haker; R. V. Mulkern",NA; NA; NA; NA,"Law, Probability and Risk","18 Jan 2018","2009","8","2","159","170","While the use of p-values in evidence-based medicine (EBM) is consistent and well-defined, the application of statistical information in health law varies greatly. A comparative literature review of clinical and legal medical decision making using Medline (PubMed) and LexisNexis reveals large disparities in the mode and frequency with which statistical evidence is used in EBM when compared with health law. We present the historical background of the p-value in the statistical literature and legal case law, including several medical malpractice cases, and then compare the use of the p-value as statistical evidence in health law and clinical research. We suggest that health law may consider the establishment of statistical criteria for appropriate applications.","1470-840X","","10.1093/lpr/mgp004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8157271","p-value;significance;hypothesis testing;evidence-based medicine;probability tests;health law","","","","","","","","","18 Jan 2018","","","OUP","OUP Journals"
"Representing the use of rule-based presumptions in legal decision documents","V. R. Walker",NA,"Law, Probability and Risk","18 Jan 2018","2014","13","3-4","259","275","This article discusses rule-based presumptions that are authoritatively established, as distinct from other types of presumptions that are generalization-based or policy-based. It first introduces some legal distinctions that are used to define presumptions in law, and then presents extended examples of legal presumptions drawn from the statute and case law governing compensation for vaccine-related injuries in the USA. It proposes a formal method of representing rule-based legal presumptions that utilizes a three-valued, default logic. Finally, it uses the vaccine-injury compensation cases and the concept of legal presumption to explore difficulties in determining the burdens of production and persuasion, the meaning of legal terms in propositions to be proved and the inferences to be drawn from them.","1470-840X","","10.1093/lpr/mgu008","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8157947","Presumptions;factfinding;legal decision documents;vaccine compensation;evidence law;burden of proof;burden of production;burden of persuasion","","","","","","","","","18 Jan 2018","","","OUP","OUP Journals"
"Liability for negligently increased risk: the repercussions of Barker v. Corus UK (plc)","C. Miller",NA,"Law, Probability and Risk","18 Jan 2018","2009","8","1","39","54","The philosophical problem of ‘references classes’ is discussed within the context of probabilistic causation and, more particularly, liability for the negligent increase of the risk of personal injury. The implications of a recent addition to the U.K. case law on asbestos-related disease are then examined.","1470-840X","","10.1093/lpr/mgp009","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8157959","causation;reference classes;risk;probability;uncertainty;mesothelioma","","","","","","","","","18 Jan 2018","","","OUP","OUP Journals"
